,name,price,details,url
0,Marine patch-detail distressed denim shorts,350 €,navy blue stretch-cotton patch detail distressed effect spray-paint effect logo patch to the rear logo patch to the front concealed fly and button fastening classic five pockets above-knee length ,https://www.farfecth.com/pt/shopping/men/dsquared2-marine-patch-detail-distressed-denim-shorts-item-18450041.aspx?storeid=13537
1,check-print shorts,550 €,beige/red/black beige check print elasticated waistband two side slit pockets ,https://www.farfecth.com/pt/shopping/men/burberry-check-print-shorts-item-15379408.aspx?storeid=13537
2,corduroy straight-leg shorts,151 €,white cotton embroidered logo to the front mid-rise drawstring fastening two side slit pockets rear welt pocket ,https://www.farfecth.com/pt/shopping/men/polo-ralph-lauren-corduroy-straight-leg-shorts-item-15375314.aspx?storeid=13537
3,Arrows-print cotton track shorts,325 €,black cotton logo print to the front signature Arrows motif rear patch pocket two side inset pockets elasticated waistband above-knee length ,https://www.farfecth.com/pt/shopping/men/off-white-arrows-print-cotton-track-shorts-item-18675607.aspx?storeid=13537
4,logo-patch track shorts,50 €,plum purple cotton blend embroidered logo to the side elasticated waistband two side slit pockets ,https://www.farfecth.com/pt/shopping/men/carhartt-wip-logo-patch-track-shorts-item-18561007.aspx?storeid=13537
5,logo-patch track shorts,55 €,black cotton blend logo patch to the front elasticated waistband two side slit pockets straight leg ,https://www.farfecth.com/pt/shopping/men/lacoste-logo-patch-track-shorts-item-18480511.aspx?storeid=13537
6,logo-patch cotton track shorts,230 €,black cotton logo patch to the side drawstring fastening waist two side slit pockets side patch pocket knee-length ,https://www.farfecth.com/pt/shopping/men/stone-island-logo-patch-cotton-track-shorts-item-18655607.aspx?storeid=13537
7,elasticated waistband Bermuda shorts,240 €,taupe two rear patch pockets elasticated panelling knee-length belt loops ,https://www.farfecth.com/pt/shopping/men/ami-paris-elasticated-waistband-bermuda-shorts-item-17150877.aspx?storeid=13537
8,Jaime track shorts ,215 €,black elasticated waistband two side zip-fastening pockets rear button-fastening pocket straight hem ,https://www.farfecth.com/pt/shopping/men/frescobol-carioca-jaime-track-shorts-item-18481768.aspx?storeid=13537
9,embossed-logo bermuda shorts,500 €,black embossed logo to the side elasticated waistband drawstring fastening above-knee length two zip-fastening pockets two rear patch pockets ,https://www.farfecth.com/pt/shopping/men/balmain-embossed-logo-bermuda-shorts-item-17175820.aspx?storeid=13537
10,stripe-pattern bermuda shorts,450 €,multicolour cotton vertical stripe pattern elasticated waistband ,https://www.farfecth.com/pt/shopping/men/bode-stripe-pattern-bermuda-shorts-item-18324088.aspx?storeid=13537
11,logo-print cotton track shorts,490 €,camel brown cotton logo print to the front elasticated waistband two side slit pockets rear welt pocket straight hem ,https://www.farfecth.com/pt/shopping/men/burberry-logo-print-cotton-track-shorts-item-18926049.aspx?storeid=13537
