,name,price,details,url
0,cropped tailored trousers,"1,200 €",black virgin wool blend pressed crease belted waist cropped concealed front fastening two side slash pockets partial lining ,https://www.farfecth.com/pt/shopping/men/valentino-cropped-tailored-trousers-item-19150130.aspx?storeid=9693
1,ribbed straight-pants,295 €,black cotton ribbed detailing logo patch to the rear embroidered logo to the side straight leg ,https://www.farfecth.com/pt/shopping/men/opening-ceremony-ribbed-straight-pants-item-18672495.aspx?storeid=12838
2,plissé cropped trousers,320 €,black plissé details fully pleated elasticated waistband cropped leg ,https://www.farfecth.com/pt/shopping/men/homme-plisse-issey-miyake-plisse-cropped-trousers-item-19149731.aspx?storeid=13109
3,drop-crotch tailored trousers,"2,116 €",black high waist pleat detailing asymmetric design two side inset pockets tailored cut ,https://www.farfecth.com/pt/shopping/men/comme-des-garcons-homme-plus-drop-crotch-tailored-trousers-item-19076942.aspx?storeid=9499
4,wool tapered trousers,950 €,black cotton/wool concealed front fastening belt loops tapered leg ,https://www.farfecth.com/pt/shopping/men/jil-sander-wool-tapered-trousers-item-19142745.aspx?storeid=9502
5,logo-patch drawstring trousers,183 €,black logo patch to the rear belt loops drawstring fastening waist concealed front fastening two diagonal pockets to the sides two rear welt pockets ,https://www.farfecth.com/pt/shopping/men/drole-de-monsieur-logo-patch-drawstring-trousers-item-19116941.aspx?storeid=9774
6,logo-patch track pants,683 €,black cotton blend logo patch to the rear elasticated drawstring waistband slip pockets to the sides straight leg elasticated ankles ,https://www.farfecth.com/pt/shopping/men/salvatore-ferragamo-logo-patch-track-pants-item-19082721.aspx?storeid=9462
7,graphic logo track pants,328 €,black/bright green jersey fleece graphic print to the side logo print to the side elasticated drawstring waistband two side slit pockets two rear welt pockets ,https://www.farfecth.com/pt/shopping/men/feng-chen-wang-graphic-logo-track-pants-item-19141060.aspx?storeid=9502
8,embroidered-logo cable knit trousers,325 €,navy blue/white cable knit embroidered logo elasticated waistband two diagonal pockets to the sides full lining ,https://www.farfecth.com/pt/shopping/men/opening-ceremony-embroidered-logo-cable-knit-trousers-item-18673140.aspx?storeid=9758
9,straight-leg tailored wool trousers,690 €,black wool/cotton front zip fastening belt loops straight leg pressed crease two rear welt pockets ,https://www.farfecth.com/pt/shopping/men/lanvin-straight-leg-tailored-wool-trousers-item-19175725.aspx?storeid=13109
10,straight-leg trousers,197 €,navy blue cotton straight leg front button and zip fastening mid-rise ,https://www.farfecth.com/pt/shopping/men/maison-kitsune-straight-leg-trousers-item-19155388.aspx?storeid=9462
11,cargo-pocket leather trousers,"2,500 €",black calf leather concealed front fastening belt loops side cargo pocket two rear patch pockets straight leg ,https://www.farfecth.com/pt/shopping/men/1017-alyx-9sm-cargo-pocket-leather-trousers-item-18543692.aspx?storeid=13537
