,name,price,details,url
0,VLOGO Signature shoulder bag,"1,569 €",fuchsia pink calf leather VLogo Signature metallic hardware foldover top ,https://www.farfecth.com/pt/shopping/women/valentino-garavani-vlogo-signature-shoulder-bag-item-19154278.aspx?storeid=9053
1,Palm Beach metallic-effect crossbody,"1,195 €",silver-tone lambskin/faux leather metallic effect logo plaque foldover top single shoulder strap partitioned compartment ,https://www.farfecth.com/pt/shopping/women/palm-angels-palm-beach-metallic-effect-crossbody-item-18572012.aspx?storeid=12592
2,rhinestone-embellished mini bag,950 €,champagne rhinestone embellishment single top handle top zip fastening main compartment internal zip-fastening pocket internal logo plaque ,https://www.farfecth.com/pt/shopping/women/lalingi-rhinestone-embellished-mini-bag-item-18715697.aspx?storeid=13537
3,small Horsebit 1955 shoulder bag,"3,900 €",beige/brown/white GG Supreme canvas/leather signature Horsebit detail patchwork detailing adjustable shoulder strap front flap closure main compartment internal zip-fastening pocket internal slip pocket gold-tone hardware ,https://www.farfecth.com/pt/shopping/women/gucci-small-horsebit-1955-shoulder-bag-item-19051889.aspx?storeid=10191
4,DG Girls logo-embellished shoulder bag,"1,400 €",red calf leather gold-tone logo plaque crocodile-effect embossed leather strap chain-link shoulder strap foldover top with magnetic fastening internal card slot ,https://www.farfecth.com/pt/shopping/women/dolce-gabbana-dg-girls-logo-embellished-shoulder-bag-item-18842477.aspx?storeid=13098
5,Love heart-shaped satin clutch bag,830 €,hot pink calf leather satin finish crystal embellishment heart-shape frame top zip fastening single rolled top handle ,https://www.farfecth.com/pt/shopping/women/lalingi-love-heart-shaped-satin-clutch-bag-item-18715698.aspx?storeid=13537
6,Le Chiquito faux-shearling tote bag,822 €,beige faux-shearling design gold-tone logo lettering coiled top handle adjustable top handle foldover top with magnetic fastening main compartment internal slip pocket adjustable detachable shoulder strap ,https://www.farfecth.com/pt/shopping/women/jacquemus-le-chiquito-faux-shearling-tote-bag-item-19032232.aspx?storeid=13537
7,XS Le Cagole shoulder bag,"2,400 €",pink cracked texture metallic finish pleat detailing stud embellishment decorative buckle detailing mirror tag removable cardholder silver-tone hardware top zip fastening adjustable detachable shoulder strap Conscious: We've partnered with Good On You – an ethical agency that rates how sustainably brands perform. This item comes from a  brand that performs well in relation to their impact on the planet. ,https://www.farfecth.com/pt/shopping/women/balenciaga-xs-le-cagole-shoulder-bag-item-18693569.aspx?storeid=13539
8,logo-plaque matelassé tote bag,"1,500 €",orchid pink calf leather gold-tone logo plaque matelassé effect single flat top handle top zip fastening adjustable shoulder strap ,https://www.farfecth.com/pt/shopping/women/miu-miu-logo-plaque-matelasse-tote-bag-item-19088121.aspx?storeid=9306
9,La Greca shoulder bag,"2,400 €",dark red calf leather signature La Greca print engraved logo gold-tone hardware foldover top single shoulder strap ,https://www.farfecth.com/pt/shopping/women/versace-la-greca-shoulder-bag-item-18307175.aspx?storeid=13537
10,Samantha iridescent mini bag,975 €,silver-tone calf leather iridescent bow detailing crystal embellishment internal logo patch main compartment foldover top with magnetic fastening single flat top handle ,https://www.farfecth.com/pt/shopping/women/mach-mach-samantha-iridescent-mini-bag-item-18639969.aspx?storeid=13537
11,small Double G top-handle bag,"2,700 €",brown leather signature Double G logo signature Web detailing two rounded top handles adjustable detachable shoulder strap top zip fastening padlock fastening main compartment internal zip-fastening pockets metal feet leather tag hanging key fob gold-tone hardware ,https://www.farfecth.com/pt/shopping/women/gucci-small-double-g-top-handle-bag-item-19033155.aspx?storeid=10524
