,name,price,details,url
0,wide-leg trousers,706 €,beige cotton mid-rise pleat detailing belt loops front zip fastening wide leg ,https://www.farfecth.com/pt/shopping/women/khaite-wide-leg-trousers-item-18902372.aspx?storeid=9383
1,sequin-embellished leopard-print trousers,"1,770 €",gold-tone metallic finish sequin embellishment leopard print elasticated waistband two rear welt pockets ,https://www.farfecth.com/pt/shopping/women/paco-rabanne-sequin-embellished-leopard-print-trousers-item-19045383.aspx?storeid=13537
2,high-waisted flared trousers,490 €,black virgin wool-cashmere blend high waist belt loops front button and zip fastening pressed crease flared ,https://www.farfecth.com/pt/shopping/women/patou-high-waisted-flared-trousers-item-18581008.aspx?storeid=10011
3,velvet-finish straight-leg trousers,350 €,dark magenta cotton blend crushed velvet mid-rise concealed front fastening two side slash pockets straight leg ,https://www.farfecth.com/pt/shopping/women/there-was-one-velvet-finish-straight-leg-trousers-item-18598472.aspx?storeid=13905
4,floral-print flared trousers,295 €,black/multicolour logo-tape detailing elasticated waistband flared all-over floral print ,https://www.farfecth.com/pt/shopping/women/palm-angels-floral-print-flared-trousers-item-18572016.aspx?storeid=12592
5,graphic-print straight-leg trousers,544 €,white/multicolour cotton all-over graphic print high waist belt loops front button and zip fastening classic five pockets straight leg ,https://www.farfecth.com/pt/shopping/women/jw-anderson-graphic-print-straight-leg-trousers-item-18681145.aspx?storeid=9808
6,logo-print track pants,325 €,purple logo print to the front side stripe detailing elasticated waistband two side zip-fastening pockets ,https://www.farfecth.com/pt/shopping/women/palm-angels-logo-print-track-pants-item-18569922.aspx?storeid=12592
7,wide-leg tailored long trousers,"1,300 €",hot pink virgin wool-silk blend high-waisted belt loops pressed crease concealed front fastening slip pockets to the sides extra-long length wide leg tailored cut ,https://www.farfecth.com/pt/shopping/women/valentino-wide-leg-tailored-long-trousers-item-18657665.aspx?storeid=13537
8,Hailey cotton cargo trousers,255 €,sand beige cotton high-waisted drop crotch belt loops concealed fly and button fastening wide leg multiple cargo pockets drawstring hem ,https://www.farfecth.com/pt/shopping/women/frankie-shop-hailey-cotton-cargo-trousers-item-18593527.aspx?storeid=13537
9,x Wales Bonner track pants,225 €,mustard yellow brown recycled polyester-cotton blend elasticated drawstring waistband logo print at the leg stripe trim ankle-length Conscious: This item is made from at least 50% recycled or upcycled materials. For recycled synthetic clothing products we highly recommend using a microfibre-catching washing bag to ensure that no microplastics that can pollute water are released in the process. ,https://www.farfecth.com/pt/shopping/women/adidas-x-wales-bonner-track-pants-item-17606086.aspx?storeid=13537
10,Gelso high-rise tailored trousers,180 €,"beige TENCEL™ blend dart detailing detachable belt belt loops high waist concealed front fastening straight leg two side slash pockets two rear welt pockets POSITIVELY CONSCIOUS: This Planet Conscious product contains at least 50% eco-materials, which are independently certified as or widely recognised for having a lower environmental impact. ",https://www.farfecth.com/pt/shopping/women/frankie-shop-gelso-high-rise-tailored-trousers-item-17376309.aspx?storeid=13537
11,Bea pleated trousers,225 €,latte-brown  polyester  high-waisted concealed front fastening two side slit pockets rear button-fastening pocket  pleat detailing cropped leg  ,https://www.farfecth.com/pt/shopping/women/frankie-shop-bea-pleated-trousers-item-15304927.aspx?storeid=13537
