,name,price,details,url
0,detachable-sleeve cropped puffer jacket,"2,200 €",black recycled nylon feather down padded design monogram print silver-tone hardware elasticated toggle detailing detachable sleeves engraved logo enamel triangle logo high neck front zip fastening long sleeves elasticated cuffs cropped two front welt pockets Conscious: This item is made from at least 50% recycled or upcycled materials. For recycled synthetic clothing products we highly recommend using a microfibre-catching washing bag to ensure that no microplastics that can pollute water are released in the process. ,https://www.farfecth.com/pt/shopping/women/prada-detachable-sleeve-cropped-puffer-jacket-item-19005096.aspx?storeid=12113
1,belted quilted jacket,690 €,beige cotton quilted wrap design shawl lapels front button fastening belted waist two side slit pockets straight hem ,https://www.farfecth.com/pt/shopping/women/isabel-marant-belted-quilted-jacket-item-18660225.aspx?storeid=9575
2,recycled polyester quilted jacket,295 €,khaki recycled polyester diamond quilting spread collar drawstring neck front button fastening long sleeves two front patch pockets straight hem Conscious: This item is made from at least 50% recycled or upcycled materials. For recycled synthetic clothing products we highly recommend using a microfibre-catching washing bag to ensure that no microplastics that can pollute water are released in the process. ,https://www.farfecth.com/pt/shopping/women/ganni-recycled-polyester-quilted-jacket-item-19003642.aspx?storeid=9689
3,drawstring-waist padded jacket,"2,490 €",khaki cotton/wool blend padded design high neck front zip fastening drawstring fastening waist curved hem ,https://www.farfecth.com/pt/shopping/women/alexander-mcqueen-drawstring-waist-padded-jacket-item-19023733.aspx?storeid=10952
4,single-breasted leather jacket,"4,000 €",black calf leather straight-point collar front button fastening two chest flap pockets full lining two side welt pockets ,https://www.farfecth.com/pt/shopping/women/khaite-single-breasted-leather-jacket-item-17984111.aspx?storeid=13537
5,Jasione padded jacket,"1,320 €",beige down-feather filling padded design classic hood logo patch at the sleeve stand-up collar two zip-fastening pockets long sleeves elasticated cuffs drawstring hem ,https://www.farfecth.com/pt/shopping/women/moncler-jasione-padded-jacket-item-18689849.aspx?storeid=13539
6,Astra bomber jacket,285 €,olive brown oversize cut padded design stand-up collar front zip fastening drop shoulder long sleeves two press-stud fastening side pockets straight hem ribbed edge ,https://www.farfecth.com/pt/shopping/women/frankie-shop-astra-bomber-jacket-item-17701938.aspx?storeid=13537
7,BB monogram puffer jacket,"2,450 €",beige cotton blend padded design concealed front zip fastening two side slash pockets stand-up collar long sleeves Conscious: We've partnered with Good On You – an ethical agency that rates how sustainably brands perform. This item comes from a  brand that performs well in relation to their impact on the planet. ,https://www.farfecth.com/pt/shopping/women/balenciaga-bb-monogram-puffer-jacket-item-18971146.aspx?storeid=13539
8,oversized leather biker jacket,"2,445 €",burgundy leather wide notch lapels off-centre front zip fastening signature Binder Clip fastening two side zip-fastening pockets front flap pocket long sleeves belted waist debossed logo to the rear ,https://www.farfecth.com/pt/shopping/women/off-white-oversized-leather-biker-jacket-item-18531667.aspx?storeid=12572
9,diamond-quilted lightweight padded jacket,295 €,black diamond quilting padded design funnel neck front press-stud fastening long sleeves two side slit pockets high-low hem lightweight construction ,https://www.farfecth.com/pt/shopping/women/there-was-one-diamond-quilted-lightweight-padded-jacket-item-18598462.aspx?storeid=13905
10,hooded cropped puffer jacket,"1,391 €",sage green padded design detachable hood funnel neck front press-stud and zip fastening long sleeves elasticated cuffs two side slit pockets cropped ,https://www.farfecth.com/pt/shopping/women/sacai-hooded-cropped-puffer-jacket-item-19052308.aspx?storeid=9671
11,acid-wash denim jacket,931 €,blue cotton virgin wool blend acid wash classic collar concealed front fastening epaulettes long sleeves multiple cargo pockets straight hem ,https://www.farfecth.com/pt/shopping/women/isabel-marant-acid-wash-denim-jacket-item-19102706.aspx?storeid=9671
