,name,price,details,url
0,Body printed long-sleeved shirt,936 €,blue/multicolour cotton-silk blend Sagittarius Zodiac print spread collar V-neck front button fastening shoulder pads balloon sleeves buttoned cuffs straight hem ,https://www.farfecth.com/pt/shopping/women/zimmermann-body-printed-long-sleeved-shirt-item-19056914.aspx?storeid=13768
1,sequin-embellished sleeveless top,"1,950 €",silver-tone sequin embellishment V-neck sleeveless ,https://www.farfecth.com/pt/shopping/women/paco-rabanne-sequin-embellished-sleeveless-top-item-19108159.aspx?storeid=9274
2,frayed panelling logo sweatshirt,625 €,lilac cotton frayed detailing logo lettering crew neck long sleeves ,https://www.farfecth.com/pt/shopping/women/off-white-frayed-panelling-logo-sweatshirt-item-18531739.aspx?storeid=12572
3,Moby high-neck flocked-logo sweatshirt,220 €,ecru organic cotton-recycled polyester logo print at the chest high neck drop shoulder long sleeves ribbed cuffs ribbed hem ,https://www.farfecth.com/pt/shopping/women/isabel-marant-etoile-moby-high-neck-flocked-logo-sweatshirt-item-17660827.aspx?storeid=11598
4,crystal-embellished crop top,620 €,light blue cotton light wash crystal embellishment heart motif thin shoulder straps sleeveless cropped straight hem ,https://www.farfecth.com/pt/shopping/women/area-crystal-embellished-crop-top-item-18007869.aspx?storeid=13537
5,embroidered sheer top,291 €,black embroidered design semi-sheer construction round neck long sleeves ,https://www.farfecth.com/pt/shopping/women/casablanca-embroidered-sheer-top-item-18921537.aspx?storeid=12420
6,gingham check cotton shirt,"1,250 €",blue/white cotton gingham check pattern long sleeves straight-point collar ruched detailing chest patch pocket front button fastening ,https://www.farfecth.com/pt/shopping/women/prada-gingham-check-cotton-shirt-item-18884154.aspx?storeid=12113
7,metallic ruched tank top,790 €,silver-tone ruched bodice spaghetti straps straight hem ,https://www.farfecth.com/pt/shopping/women/dion-lee-metallic-ruched-tank-top-item-18809986.aspx?storeid=9834
8,Cuscinu halterneck top,254 €,black virgin wool blend halterneck sweetheart neck underwire cup rear hook fastening ,https://www.farfecth.com/pt/shopping/women/jacquemus-cuscinu-halterneck-top-item-19127219.aspx?storeid=9421
9,tie-fastening sheer blouse,"1,100 €",fuchsia pink silk sheer front tie fastening long puff sleeves ,https://www.farfecth.com/pt/shopping/women/valentino-tie-fastening-sheer-blouse-item-19116899.aspx?storeid=13537
10,GG-embroidered tulle blouse,980 €,beige signature GG Supreme embroidery tulle overlay crew neck long sleeves pullover design ,https://www.farfecth.com/pt/shopping/women/gucci-gg-embroidered-tulle-blouse-item-18855070.aspx?storeid=10524
